"month","lat","lon"
1,46.77004407723315,-62.69794147898355
2,57.381874387539455,-56.51615931572333
3,48.32231322411759,-53.72999254267319
4,54.173432792377554,-48.861000382464056
5,61.32724477730143,-49.023897408024496
6,63.59067954726872,-60.009341678300714
7,60.218710596021566,-48.586016502533525
8,62.11737672645584,-43.32107247354057
9,57.07013562494983,-53.834216415654176
10,52.597087732587134,-63.83412418820428
11,38.85330922091658,-64.25246185249362
12,52.833603713632606,-76.66890122807368
