"lon","lat","incl_deg","intensity_uT"
-180,-84,-75.82884809100895,58.27164410829135
-168,-84,-75.34421168280784,57.805767117096075
-156,-84,-74.71019473243852,57.1919053025821
-144,-84,-73.96561444573564,56.454009830034074
-132,-84,-73.1500752011042,55.61689953234758
-120,-84,-72.30183742650705,54.71595632505367
-108,-84,-71.45823348001272,53.77864464724429
-96,-84,-70.65138276958271,52.859337212872646
-84,-84,-69.90950712885807,52.00128252127059
-72,-84,-69.25887206727285,51.21193447820059
-60,-84,-68.71695492137782,50.524621054537825
-48,-84,-68.29933435819396,49.94373779482162
-36,-84,-68.01037410646845,49.525219304078846
-24,-84,-67.85534299392562,49.2968244673813
-12,-84,-67.84205438207648,49.26434192525863
0,-84,-67.97685685343329,49.436793945161796
12,-84,-68.26361810265539,49.8197430536892
24,-84,-68.70351438485292,50.40069572866212
36,-84,-69.29196447005322,51.14997042999668
48,-84,-70.0120232051504,52.04507300179216
60,-84,-70.83936042295349,53.0405988695195
72,-84,-71.73991135162396,54.08548411336931
84,-84,-72.67180011532832,55.12315344242162
96,-84,-73.58707376595073,56.09749561556312
108,-84,-74.43440553016706,56.95722831592484
120,-84,-75.162386629371,57.66205442639036
132,-84,-75.72474017997202,58.180140891540034
144,-84,-76.08515031082408,58.494017182245635
156,-84,-76.22206594470258,58.60427009270132
168,-84,-76.13521094500639,58.480386705815654
180,-84,-75.82884807743221,58.27164408097275
-180,-78,-79.03573116306619,61.10030062068575
-168,-78,-77.82093745625129,60.13711275133036
-156,-78,-76.40633810744276,58.89811428934074
-144,-78,-74.8621777387002,57.48226299732846
-132,-78,-73.24379191445988,55.923050942771845
-120,-78,-71.60496208568699,54.271023050937515
-108,-78,-70.0080682468952,52.575348718340855
-96,-78,-68.5251031297448,50.8696035818152
-84,-78,-67.21738109534874,49.26966024676427
-72,-78,-66.13885997087647,47.77760082491381
-60,-78,-65.30505697901157,46.47053154936565
-48,-78,-64.70372224514755,45.39472788174351
-36,-78,-64.30215106807391,44.61366287688782
-24,-78,-64.09149273751699,44.10236323675117
-12,-78,-64.0600153725782,43.96452817876698
0,-78,-64.23884363319718,44.222676966583784
12,-78,-64.67163667632485,44.90440780800517
24,-78,-65.3986077271596,46.01588142516757
36,-78,-66.44045377084889,47.5268246460406
48,-78,-67.78599791357736,49.37608022309218
60,-78,-69.39459478966943,51.46310733052153
72,-78,-71.20266142107923,53.64669598357434
84,-78,-73.12368194550798,55.78564403691892
96,-78,-75.05463684199353,57.75082103248238
108,-78,-76.87719015039384,59.44210779616236
120,-78,-78.46070456195898,60.756083378715495
132,-78,-79.65849716709069,61.642477620230565
144,-78,-80.33495927494587,62.0867116167612
156,-78,-80.4189127920284,62.10830221601103
168,-78,-79.94462298747732,61.80320147660473
180,-78,-79.03573114616488,61.10030059471259
-180,-72,-80.60730977686093,62.63330248585359
-168,-72,-78.60307383927336,61.18814109535198
-156,-72,-76.53535352873661,59.44731223179917
-144,-72,-74.40445847612682,57.50015110174241
-132,-72,-72.19937159546075,55.35469146550207
-120,-72,-69.94090058688204,53.02359212948008
-108,-72,-67.70469440075385,50.61738145512177
-96,-72,-65.62645355407574,48.21519991707508
-84,-72,-63.86318345788316,45.93911451171219
-72,-72,-62.542765591815474,43.86304616648931
-60,-72,-61.68845874964195,42.10499705665275
-48,-72,-61.220669343766495,40.699065971316195
-36,-72,-60.9961501623038,39.65600628650578
-24,-72,-60.897195351724235,38.97939868443749
-12,-72,-60.90817109360642,38.68656883090654
0,-72,-61.06343581628263,38.983059007787936
12,-72,-61.521477280999775,39.89257429058644
24,-72,-62.39419036139473,41.51881119884637
36,-72,-63.79403412628964,43.75416723268852
48,-72,-65.69947135530849,46.541757156343444
60,-72,-68.03543856132825,49.724183804482585
72,-72,-70.69126927715507,53.08440111303137
84,-72,-73.55770824129544,56.27396864680329
96,-72,-76.47488930957657,59.18128722427383
108,-72,-79.30013060812128,61.59050353689393
120,-72,-81.84011659909473,63.33193505935191
132,-72,-83.76431246431811,64.3615219371055
144,-72,-84.55603951537547,64.73180205041554
156,-72,-83.96929282380964,64.46550102545405
168,-72,-82.4774496739668,63.6894959669815
180,-72,-80.60730974629908,62.63330244522555
-180,-66,-79.8301336829951,62.7822004728988
-168,-66,-77.42824450671121,60.787028620216184
-156,-66,-75.103477012102,58.61574143811021
-144,-66,-72.75845526190335,56.27453246009714
-132,-66,-70.28455000016093,53.76304098735085
-120,-66,-67.62932800049964,51.0099589744016
-108,-66,-64.86639515092052,48.068729715553964
-96,-66,-62.22461605212895,45.069973932190116
-84,-66,-60.03564149697375,42.20676797525744
-72,-66,-58.599729223563926,39.6670116064937
-60,-66,-58.019766720268,37.55625497428248
-48,-66,-58.06580812354214,36.0255633830034
-36,-66,-58.4122180074596,34.859263752268845
-24,-66,-58.69661255151325,34.08438630962582
-12,-66,-58.7903491471009,33.77736686914518
0,-66,-58.84350446673046,34.07792304369225
12,-66,-59.1476514569847,35.197557375011776
24,-66,-60.007427821714984,37.26459494039814
36,-66,-61.63373121030241,40.21497362221697
48,-66,-64.02259101415481,43.880961774444984
60,-66,-66.9932397081757,48.10134713789847
72,-66,-70.38344237890719,52.47764415644619
84,-66,-74.01472534698453,56.63540427951314
96,-66,-77.72596974090762,60.325445898020746
108,-66,-81.39665086751748,63.27843387608633
120,-66,-84.90645525704885,65.24950572181059
132,-66,-87.93606559965676,66.2376256159764
144,-66,-87.72941698199503,66.32355720216134
156,-66,-85.05753409837509,65.71927134438208
168,-66,-82.3697943990049,64.45359918615684
180,-66,-79.83013366620978,62.78220044748031
-180,-60,-77.32373137721298,61.737977768279976
-168,-60,-74.88729995714333,59.359960955107326
-156,-60,-72.5704027388995,56.83345404150834
-144,-60,-70.25523694879786,54.231016306269225
-132,-60,-67.763634711428,51.47270715677808
-120,-60,-64.94215480170787,48.42078801772781
-108,-60,-61.808889112599644,45.070964683872155
-96,-60,-58.66823686632639,41.55142218516168
-84,-60,-56.062245049364435,38.2392418741502
-72,-60,-54.59445349176265,35.395662508644506
-60,-60,-54.52504901743856,33.22155425401498
-48,-60,-55.5364152193621,31.68260056087505
-36,-60,-56.89772847412243,30.580179128193894
-24,-60,-57.87129032832918,29.868510061308125
-12,-60,-58.200091376326895,29.502389081628138
0,-60,-58.04841681534208,29.788987216590773
12,-60,-57.97454747695187,31.01523441043532
24,-60,-58.57766657961628,33.41672143004279
36,-60,-60.234626547014756,36.982421699519605
48,-60,-62.92950328661919,41.49646895661725
60,-60,-66.39540126706628,46.57262337750854
72,-60,-70.30095278248588,51.78878056804951
